GDP,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
Australia,162.936,197.15,271.107,318.001,424.744,400.303,658.776,1056.574,1570.323,1263.667,1364.828,1802.006
Brazil,145.819,142.957,320.105,382.465,851.146,655.454,669.29,1695.855,2464.053,1796.622,1476.092,2188.419
Canada,276.064,356.728,509.38,594.376,630.598,744.631,1026.473,1552.864,1828.362,1527.996,1655.685,2214.796
China,303.004,314.23,408.663,492.148,860.468,1205.532,1949.446,4577.28,8539.584,11226.897,14862.564,18273.357
France,695.475,526.671,1012.843,1392.563,1599.248,1361.56,2108.835,2926.483,2684.706,2469.726,2645.806,3174.099
Germany,856.833,654.289,1271.263,2146.14,2507.448,1967.85,2851.023,3808.369,3600.175,3536.808,3936.989,4710.032
Indonesia,99.296,107.218,107.279,168.28,274.722,179.482,279.344,558.291,917.87,931.877,1059.055,1402.59
Italy,479.967,441.048,897.006,1305.099,1315.136,1150.169,1811.987,2417.242,2099.259,1886.59,1905.954,2376.51
Japan,1129.378,1345.825,3125.725,3980.703,4923.393,4968.36,4893.135,5106.679,6272.362,5003.678,5054.094,4070.094
United States,2857.325,4037.65,5236.425,6520.325,8073.125,10250.95,12217.175,14769.85,16253.95,18804.9,21354.125,29167.779
South Korea,67.729,101.033,206.801,368.356,632.201,597.802,822.583,1093.487,1335.344,1578.816,1744.456,1869.916
Switzerland,122.466,109.4,215.36,279.764,340.259,279.285,403.446,566.968,686.546,687.721,741.311,942.265
