,Team,Sport,Predicted_Gold_2028,Predicted_Total_2028,Predicted_Score_2028
27,United States,Swimming,28.56653118,54.43610096,413.0636215
15,Italy,Fencing,10.49446583,31.02170324,176.037262
7,China,Swimming,4.620531917,33.42849541,130.2104568
18,Italy,Volleyball,12.0640955,15.23786807,121.5700073
12,France,Volleyball,13.65803075,14.78524625,99.90917015
4,Brazil,Volleyball,13.58786666,14.94854355,96.6743679
28,United States,Volleyball,0.159705162,25.85425568,91.87125206
3,Brazil,Judo,5.957305908,12.35094643,68.62771606
11,France,Judo,4.282495737,7.655682087,66.52953339
23,Japan,Fencing,2.641906023,8.760235786,47.92101669
25,United States,Fencing,4.395979881,3.572976351,44.27167511
16,Italy,Judo,6.735984325,7.483456612,40.55014038
13,Germany,Equestrian,2.68470192,5.366298914,40.22821045
17,Italy,Shooting,6.735984325,8.483456612,39.55014038
29,United States,Tennis,2.026601672,7.334910631,35.47911263
14,Indonesia,Badminton,2.521719873,1.498792171,33.27676392
2,Australia,Tennis,6.208766937,1.810362384,26.63136864
24,Japan,Badminton,3.151976347,3.488325953,19.82511806
21,Japan,Judo,1.958085477,6.507209063,19.38873029
0,Australia,Shooting,1.100053728,1.629231095,16.73415852
19,Italy,Swimming,6.030474663,4.321655989,15.30964088
1,Australia,Swimming,-1.448474884,-4.233474731,9.893465996
8,China,Badminton,2.197734594,5.364090681,8.531991035
9,China,Judo,-0.356206656,0.253781199,7.137170792
6,China,Shooting,-1.356206656,0.253781199,2.137170792
26,United States,Shooting,-1.17481792,0.373516381,-2.679702282
22,Japan,Swimming,0.342649996,-1.563032627,-13.06840324
5,Canada,Fencing,,,
10,China,Tennis,,,
20,Italy,Tennis,,,
